filename,fecha_de_radicacion,has_unredacted,unredacted_vars,unredacted_values,date_of_decree,decree_year,county,state,physical_address,mailing_address,mailing_state,mailing_county,taxable_year_end,total_net_worth,income_interest_exempt,income_interest_nonexempt,income_dividends_exempt,income_dividends_nonexempt,income_capital_gains_exempt,income_capital_gains_nonexempt,income_wages_exempt,income_wages_nonexempt,income_other_income_exempt,income_other_income_nonexempt,does_grantee_own_a_home_in_puerto_rico_or_does_he/she_rent_it,primary_property_value,monthly_rent_pay,real_estate_municipality,does_grantee_own_other_real_estate_in_puerto_rico,n_nonprimary_real_estate,does_grantee_have_assets_located_in_puerto_rico,previous_reporting_year,current_reporting_year,asset_type_financial_previous_reporting_year,asset_type_financial_current_reporting_year,asset_type_financial_difference,asset_type_real_estate_previous_reporting_year,asset_type_real_estate_current_reporting_year,asset_type_real_estate_difference,asset_type_privately_held_business_previous_reporting_year,asset_type_privately_held_business_current_reporting_year,asset_type_privately_held_business_difference,asset_type_other_previous_reporting_year,asset_type_other_current_reporting_year,asset_type_other_difference,does_grantee_have_a_business_in_puerto_rico,n_business,business_information_table_height,business_type_1,business_decree_1,business_type_2,business_decree_2,business_type_3,business_decree_3,business_type_4,business_decree_4,business_type_5,business_decree_5,business_type_6,business_decree_6,business_type_7,business_decree_7,business_type_8,business_decree_8,business_type_9,business_decree_9,business_type_10,business_decree_10,business_type_11,business_decree_11,business_type_12,business_decree_12,business_type_13,business_decree_13,business_type_14,business_decree_14,business_type_15,business_decree_15,household_table_height,days_in_pr,expenditure_in_pr,charity_in_pr,total_amount_donated,n_charities,gender
2022-RepAct22-008562_Redacted (1).pdf,04/23/2023,FALSE,NA,NA,01/01/2021,2021,Carolina,Puerto Rico,"Carolina, Puerto Rico","Carolina, Puerto Rico",Puerto Rico,Carolina,12/31/2021,From 1 to 5 million,0,0,0,0,289683,0,0,0,0,0,Rent,NA,1600,NA,NA,0,TRUE,2020,2021,0,250000,250000,0,0,0,0,0,0,0,0,0,No,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,194,40000,No,0,0,REDACTED
2022-RepAct22-008563_Redacted (1).pdf,01/05/2023,FALSE,NA,NA,02/06/2019,2019,San Juan,Puerto Rico,"San Juan, Puerto Rico","Dorado, Puerto Rico",Puerto Rico,Dorado,12/31/2020,Less than 1 million,0,0,0,0,587983.43,0,0,5000,0,0,Rent,NA,700,NA,NA,0,TRUE,2019,2020,174827,374579.86,199752.86,0,0,0,0,28078,28078,0,0,0,Yes,1,40,Service,REDACTED,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,358,40000,Yes,0,1,REDACTED
2022-RepAct22-008567_Redacted (1).pdf,01/17/2023,FALSE,NA,NA,07/18/2018,2018,SAN JUAN,PUERTO RICO,"SAN JUAN, PUERTO RICO","SAN JUAN, PUERTO RICO",PUERTO RICO,SAN JUAN,12/31/2021,From 1 to 5 million,1569,0,0,0,0,0,20544,0,0,48179,Own,160000,NA,NA,No,0,TRUE,2020,2021,0,0,0,0,160000,160000,0,0,0,0,0,0,No,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,187,169000,Yes,0,1,REDACTED
2022-RepAct22-008641_Redacted (1).pdf,01/13/2023,FALSE,NA,NA,01/01/2020,2020,DORADO,PR,"DORADO, PR","DORADO, PR",PR,DORADO,12/31/2021,From 25 to 50 million,3852,0,19739,0,15188988,0,0,0,0,1619,Own,3277500,NA,NA,No,0,TRUE,2020,2021,5e+05,2e+06,1500000,3277500,3277500,0,0,0,0,250000,250000,0,Yes,1,75,REDACTED,REDACTED,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95,261,335000,Yes,0,1,REDACTED
2022-RepAct22-008642_Redacted (1).pdf,01/13/2023,FALSE,NA,NA,01/01/2020,2020,DORADO,PR,"DORADO, PR","DORADO, PR",PR,DORADO,12/31/2021,From 1 to 5 million,3851,0,19739,0,15188988,0,0,0,0,1618,Own,3277500,NA,NA,No,0,TRUE,2020,2021,0,0,0,0,0,0,0,0,0,65000,0,-65000,Yes,1,65,REDACTED,REDACTED,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,237,1e+05,Yes,0,1,REDACTED
2022-RepAct22-008643_Redacted.pdf,01/13/2023,FALSE,NA,NA,03/28/2016,2016,SAN JUAN,PR,"SAN JUAN, PR","SAN JUAN, PR",PR,SAN JUAN,12/31/2021,From 10 to 25 million,48349,0,321,0,0,203483,0,1e+05,0,2747099,Own,5e+06,NA,NA,No,0,TRUE,2020,2021,4350000,4800000,450000,4500000,5e+06,5e+05,1274000,882296,-391704,1e+05,0,-1e+05,Yes,1,60,REDACTED,REDACTED,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,234,150000,Yes,8000,3,REDACTED
2022-RepAct22-008661_Redacted.pdf,01/13/2023,FALSE,NA,NA,12/30/2019,2019,QUEBRADILLAS,PR,"QUEBRADILLAS, PR","QUEBRADILLAS, PR",PR,QUEBRADILLAS,12/31/2021,Less than 1 million,33,0,0,0,267604,0,0,0,1400,92,Rent,NA,450,NA,NA,0,TRUE,2020,2021,150000,10000,-140000,0,267000,267000,0,0,0,4000,40000,36000,No,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,203,25000,Yes,0,1,REDACTED
2022-RepAct22-008674_Redacted.pdf,01/17/2023,FALSE,NA,NA,01/01/2019,2019,San Juan,PR,"San Juan, PR","San Juan, PR",PR,San Juan,12/31/2021,From 1 to 5 million,21,0,0,0,20811056,-1437460,0,0,0,1288,Own,5e+05,NA,NA,No,0,TRUE,2020,2021,1.5e+07,1e+06,-1.4e+07,450000,5e+05,50000,0,0,0,0,0,0,Yes,1,80,Service,REDACTED,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,228,2e+05,Yes,0,1,REDACTED
2022-RepAct22-008675_Redacted (1).pdf,01/18/2023,FALSE,NA,NA,07/02/2021,2021,Humacao,PR,"Humacao, PR","Humacao, PR",PR,Humacao,12/31/2021,Less than 1 million,0,0,0,0,1,0,0,84000,0,0,Own,425000,NA,NA,No,0,TRUE,2020,2021,0,0,0,0,425000,425000,0,150000,150000,0,220000,220000,Yes,1,40,Other,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,216,30000,No,0,0,REDACTED
2022-RepAct22-008679_Redacted (1).pdf,01/17/2023,FALSE,NA,NA,06/29/2018,2018,SAN JUAN,PUERTO RICO,"SAN JUAN, PUERTO RICO","SAN JUAN, PUERTO RICO",PUERTO RICO,SAN JUAN,12/31/2021,From 25 to 50 million,319,0,44523,0,2144488,0,0,88292,0,0,Rent,NA,12000,NA,NA,0,TRUE,2020,2021,50000,40000,-10000,0,0,0,0,0,0,0,0,0,Yes,1,50,Other,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,201,1e+05,No,0,0,REDACTED
2022-RepAct22-008700_Redacted.pdf,01/23/2023,FALSE,NA,NA,02/01/2019,2019,Guaynabo,PR,"Guaynabo, PR","Guaynabo, PR",PR,Guaynabo,12/31/2021,From 1 to 5 million,0,0,39,0,60660,0,0,0,0,0,Own,975000,NA,NA,No,0,TRUE,2020,2021,0,711171,711171,0,975000,975000,0,1542565,1542565,0,0,0,Yes,1,45,Other,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,205,2e+05,Yes,5000,5,REDACTED
2022-RepAct22-008705_Redacted (1).pdf,01/17/2023,FALSE,NA,NA,01/01/2018,2018,SAN JUAN,PR,"SAN JUAN, PR","SAN JUAN, PR",PR,SAN JUAN,12/31/2021,From 1 to 5 million,95,0,10821,0,62798,0,0,86069,323466,0,Own,5e+05,NA,NA,No,0,TRUE,2020,2021,1e+06,1e+06,0,750000,750000,0,0,0,0,0,0,0,Yes,1,50,Service,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,288,1e+05,Yes,0,1,REDACTED
2022-RepAct22-008707_Redacted.pdf,01/17/2023,FALSE,NA,NA,01/01/2018,2018,SAN JUAN,PR,"SAN JUAN, PR","SAN JUAN, PR",PR,SAN JUAN,12/31/2021,From 1 to 5 million,95,0,10821,0,62798,0,0,86069,323466,0,Own,5e+05,NA,NA,No,0,TRUE,2020,2021,1e+06,1e+06,0,750000,750000,0,0,0,0,0,0,0,Yes,1,35,Service,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,288,1e+05,Yes,0,1,REDACTED
2022-RepAct22-008721_Redacted.pdf,01/13/2023,FALSE,NA,NA,06/23/2020,2020,DORADO,PUERTO RICO,"DORADO, PUERTO RICO","DORADO, PUERTO RICO",PUERTO RICO,DORADO,12/31/2021,From 10 to 25 million,0,0,1438783,0,0,0,0,0,15780,17866.5,Own,3500000,NA,NA,No,0,TRUE,2020,2021,5e+05,2e+06,1500000,0,0,0,0,0,0,25000,1e+05,75000,No,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,273,60000,Yes,0,1,REDACTED
2022-RepAct22-008724_Redacted.pdf,01/17/2023,FALSE,NA,NA,01/01/2021,2021,SAN JUAN,PUERTO RICO,"SAN JUAN, PUERTO RICO","SAN JUAN, PUERTO RICO",PUERTO RICO,SAN JUAN,12/31/2021,From 1 to 5 million,0,0,2540,0,245,2401,0,0,848813,0,Own,935000,NA,NA,No,0,TRUE,2020,2021,0,0,0,0,935000,935000,0,0,0,0,55000,55000,No,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,224,85000,No,0,0,REDACTED
2022-RepAct22-008725_Redacted.pdf,02/06/2023,FALSE,NA,NA,01/01/2021,2021,SAN JUAN,PUERTO RICO,"SAN JUAN, PUERTO RICO","SAN JUAN, PUERTO RICO",PUERTO RICO,SAN JUAN,12/31/2021,From 1 to 5 million,16,0,0,0,0,0,0,0,1750985,0,Own,625000,NA,NA,No,0,TRUE,2020,2021,0,0,0,0,625000,625000,0,0,0,0,325000,325000,No,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,215,120000,No,0,0,REDACTED
2022-RepAct22-008726_Redacted.pdf,01/27/2023,TRUE,"business_name_1, business_name_2","CONDADO APARTMENTS LLC, TTW Innovations LLC",12/28/2015,2015,SAN JUAN,PR,"SAN JUAN, PR","SAN JUAN, PR",PR,SAN JUAN,12/31/2021,From 10 to 25 million,3506.5,0,3350615,0,63918.5,0,0,100300,0,0.5,Own,2e+06,NA,NA,No,0,TRUE,2020,2021,1e+06,1e+06,0,2250000,2e+06,-250000,6e+06,10500000,4500000,50000,50000,0,Yes,2,80,Real Estate/Property,REDACTED,Other,REDACTED,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,319,120000,Yes,0,1,REDACTED
2022-RepAct22-008741_Redacted.pdf,01/17/2023,FALSE,NA,NA,01/28/2021,2021,HUMACAO,PUERTO RICO,"HUMACAO, PUERTO RICO","HUMACAO, PUERTO RICO",PUERTO RICO,HUMACAO,12/31/2021,From 5 to 10 million,10621,0,49239,0,2514517,0,0,10,0,0,Own,350000,NA,NA,No,0,TRUE,2020,2021,0,0,0,0,350000,350000,0,1e+05,1e+05,0,0,0,No,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,200,94000,No,0,0,REDACTED
2022-RepAct22-008748_Redacted.pdf,01/02/2023,FALSE,NA,NA,01/01/2020,2020,SAN JUAN,PR,"SAN JUAN, PR","SAN JUAN, PR",PR,SAN JUAN,12/31/2021,From 5 to 10 million,0,0,1024168,0,0,0,0,1e+05,0,92,Rent,NA,7140,NA,NA,0,FALSE,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,1,40,Other,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,290,172000,Yes,5000,2,REDACTED
2022-RepAct22-008749_Redacted.pdf,01/02/2023,FALSE,NA,NA,01/01/2020,2020,SAN JUAN,PR,"SAN JUAN, PR","SAN JUAN, PR",PR,SAN JUAN,12/31/2021,From 5 to 10 million,0,0,0,0,0,0,0,0,0,0,Rent,NA,7140,NA,NA,0,FALSE,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,1,40,Other,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,290,172000,Yes,0,1,REDACTED
2022-RepAct22-008763_Redacted.pdf,01/13/2023,FALSE,NA,NA,01/01/2019,2019,SAN JUAN,PUERTO RICO,"SAN JUAN, PUERTO RICO","SAN JUAN, PUERTO RICO",PUERTO RICO,SAN JUAN,12/31/2021,From 10 to 25 million,1231,0,8517564,0,13764,0,0,240600,0,0,Own,1100000,NA,NA,No,0,TRUE,2020,2021,20000,20000,0,1100000,1100000,0,6787692,6787692,0,2e+05,2e+05,0,Yes,1,45,Other,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,189,1e+05,Yes,0,1,REDACTED
2022-RepAct22-008808_Redacted.pdf,01/09/2023,FALSE,NA,NA,09/21/2016,2016,SAN JUAN,PUERTO RICO,"SAN JUAN, PUERTO RICO","SAN JUAN, PUERTO RICO",PUERTO RICO,SAN JUAN,12/31/2021,From 1 to 5 million,4599,0,23591,0,1607969,0,0,0,2000,2509,Rent,NA,2700,NA,NA,0,TRUE,2020,2021,39000,31000,-8000,0,0,0,0,0,0,26000,26000,0,No,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,231,88000,No,0,0,REDACTED
2022-RepAct22-008811_Redacted.pdf,05/09/2023,FALSE,NA,NA,10/05/2014,2014,Dorado,PUERTO RICO,"Dorado, PUERTO RICO","Guaynabo, Puerto Rico",Puerto Rico,Guaynabo,12/31/2021,From 1 to 5 million,422,0,1006677,0,85368,0,0,599670,0,9070,Rent,NA,7000,"Guaynabo, Puerto Rico",NA,0,TRUE,2020,2021,520000,650000,130000,0,0,0,2e+06,2e+06,0,70000,75000,5000,Yes,1,45,REDACTED,REDACTED,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,250,1e+05,No,0,0,NA
2022-RepAct22-008819_Redacted.pdf,01/16/2023,FALSE,NA,NA,05/24/2021,2021,Rincon,PR,"Rincon, PR","Rincon, PR",PR,Rincon,12/31/2021,From 1 to 5 million,794,0,10,0,267889,0,0,0,0,88995,Rent,NA,650,NA,NA,0,TRUE,2020,2021,0,100,100,0,0,0,0,0,0,0,90000,90000,No,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,240,40000,No,0,0,REDACTED
2022-RepAct22-008839_Redacted.pdf,01/04/2023,FALSE,NA,NA,10/08/2018,2018,SAN JUAN,PR,"SAN JUAN, PR","SAN JUAN, PR",PR,SAN JUAN,12/31/2021,From 10 to 25 million,44,0,344384.55,0,503582,0,0,70300,0,0,Rent,NA,4000,NA,NA,0,TRUE,2020,2021,6510000,5500000,-1010000,0,0,0,24500000,2e+07,-4500000,25000,0,-25000,Yes,1,75,Other,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,170,351,70000,Yes,0,1,NA
2022-RepAct22-008840_Redacted.pdf,01/15/2023,FALSE,NA,NA,01/01/2019,2019,Fajardo,Puerto Rico,"Fajardo, Puerto Rico","Fajardo, Puerto Rico",Puerto Rico,Fajardo,12/31/2021,Less than 1 million,0,0,0,0,-118741,0,0,291556,0,0,Rent,NA,1000,NA,NA,0,TRUE,2020,2021,332000,230000,-102000,0,0,0,0,0,0,5e+05,5e+05,0,No,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,285,1000,Yes,0,1,REDACTED
2022-RepAct22-008846_Redacted.pdf,01/13/2023,FALSE,NA,NA,05/09/2018,2018,SAN JUAN,PR,"SAN JUAN, PR","SAN JUAN, PR",PR,SAN JUAN,12/31/2021,From 5 to 10 million,0,0,0,0,0,0,0,0,0,0,Rent,NA,4000,NA,NA,0,TRUE,2020,2021,1062000,1e+06,-62000,0,0,0,0,0,0,24000,16000,-8000,No,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,351,70000,Yes,0,1,NA
2022-RepAct22-008847_Redacted.pdf,01/13/2023,FALSE,NA,NA,06/15/2021,2021,Carolina,PR,"Carolina, PR","Carolina, PR",PR,Carolina,12/31/2021,From 1 to 5 million,0,0,54442,0,78398,0,0,22750,0,56787,Rent,NA,2250,NA,NA,0,FALSE,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,1,40,Service,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,198,35000,No,0,0,REDACTED
